#RAW_ID,BASE_ID,NAME,TYPE,IS_OPTIONAL,MULT_OK,MIN_VER,TEXT_FMT
0x18538067,0x8538067,Segment,m,0,1,1,Defo
0x114d9b74,0x14d9b74,SeekHead,m,1,0,1,Defo
0x4dbb,0xdbb,Seek,m,0,1,1,Defo
0x53ab,0x13ab,SeekID,b,0,0,1,BIN
0x53ac,0x13ac,SeekPos,u,0,0,1,0x%x
0x1549a966,0x549a966,Info,m,0,0,1,Defo
0x73a4,0x33a4,SegmentUUID,b,1,0,1,BIN
0x7384,0x3384,SegmentFilename,8,1,0,1,Defo
0x3cb923,0x1cb923,PrevSegmentUUID,b,1,0,1,Defo
0x3c83ab,0x1c83ab,PrevSegmentFilename,8,1,0,1,Defo
0x3eb923,0x1eb923,NextSegmentUUID,b,1,0,1,Defo
0x3e83bb,0x1e83bb,NextSegmentFilename,8,1,0,1,Defo
0x4444,0x444,SegmentFamily,b,1,1,1,Defo
0x6924,0x2924,ChapterTranslate,m,0,1,1,Defo
0x69a5,0x29a5,ChapterTranslateID,b,0,0,1,Defo
0x69bf,0x29bf,ChapterTranslateCodec,u,0,0,1,Defo
0x69fc,0x29fc,ChapterTranslateEditionUID,u,1,1,1,Defo
0x2ad7b1,0xad7b1,TimestampScale,u,0,0,1,Defo
0x4489,0x489,Duration,f,1,0,1,Defo
0x4461,0x461,DateUTC,d,1,0,1,Defo
0x7ba9,0x3ba9,Title,8,1,0,1,Defo
0x4d80,0xd80,MuxingApp,8,0,0,1,Defo
0x5741,0x1741,WritingApp,8,0,0,1,Defo
0x1f43b675,0xf43b675,Cluster,m,1,1,1,Defo
0xe7,0x67,Timestamp,u,0,0,1,Defo
0xa7,0x27,Position,u,1,0,1,0x%x
0xab,0x2b,PrevSize,u,1,0,1,0x%x
0xa3,0x23,SimpleBlock,b,1,1,2,Defo
0xa0,0x20,BlockGroup,m,1,1,1,Defo
0xa1,0x21,Block,b,0,0,1,Defo
0x75a1,0x35a1,BlockAdditions,m,1,0,1,Defo
0xa6,0x26,BlockMore,m,0,1,1,Defo
0xa5,0x25,BlockAdditional,b,0,0,1,Defo
0xee,0x6e,BlockAddID,u,0,0,1,Defo
0x9b,0x1b,BlockDuration,u,1,0,1,Defo
0xfa,0x7a,ReferencePriority,u,0,0,1,Defo
0xfb,0x7b,ReferenceBlock,i,1,1,1,Defo
0xa4,0x24,CodecState,b,1,0,2,Defo
0x75a2,0x35a2,DiscardPadding,i,1,0,4,Defo
0x1654ae6b,0x654ae6b,Tracks,m,1,0,1,Defo
0xae,0x2e,TrackEntry,m,0,1,1,Defo
0xd7,0x57,TrackNumber,u,0,0,1,Defo
0x73c5,0x33c5,TrackUID,u,0,0,1,Defo
0x83,0x3,TrackType,u,0,0,1,Defo
0xb9,0x39,FlagEnabled,u,0,0,2,Defo
0x88,0x8,FlagDefault,u,0,0,1,Defo
0x55aa,0x15aa,FlagForced,u,0,0,1,Defo
0x55ab,0x15ab,FlagHearingImpaired,u,1,0,4,Defo
0x55ac,0x15ac,FlagVisualImpaired,u,1,0,4,Defo
0x55ad,0x15ad,FlagTextDescriptions,u,1,0,4,Defo
0x55ae,0x15ae,FlagOriginal,u,1,0,4,Defo
0x55af,0x15af,FlagCommentary,u,1,0,4,Defo
0x9c,0x1c,FlagLacing,u,0,0,1,Defo
0x23e383,0x3e383,DefaultDuration,u,1,0,1,Defo
0x234e7a,0x34e7a,DefaultDecodedFieldDuration,u,1,0,4,Defo
0x55ee,0x15ee,MaxBlockAdditionID,u,0,0,4,Defo
0x41e4,0x1e4,BlockAdditionMapping,m,1,1,4,Defo
0x41f0,0x1f0,BlockAddIDValue,u,1,0,4,Defo
0x41a4,0x1a4,BlockAddIDName,s,1,0,4,Defo
0x41e7,0x1e7,BlockAddIDType,u,0,0,4,Defo
0x41ed,0x1ed,BlockAddIDExtraData,b,1,0,4,Defo
0x536e,0x136e,Name,8,1,0,1,Defo
0x22b59c,0x2b59c,Language,s,0,0,1,Defo
0x22b59d,0x2b59d,LanguageBCP47,s,1,0,4,Defo
0x86,0x6,CodecID,s,0,0,1,Defo
0x63a2,0x23a2,CodecPrivate,b,1,0,1,Defo
0x258688,0x58688,CodecName,8,1,0,1,Defo
0x56aa,0x16aa,CodecDelay,u,0,0,4,Defo
0x56bb,0x16bb,SeekPreRoll,u,0,0,4,Defo
0x6624,0x2624,TrackTranslate,m,1,1,1,Defo
0x66a5,0x26a5,TrackTranslateTrackID,b,0,0,1,Defo
0x66bf,0x26bf,TrackTranslateCodec,u,0,0,1,Defo
0x66fc,0x26fc,TrackTranslateEditionUID,u,1,1,1,Defo
0xe0,0x60,Video,m,0,0,1,Defo
0x9a,0x1a,FlagInterlaced,u,0,0,2,Defo
0x9d,0x1d,FieldOrder,u,0,0,4,Defo
0x53b8,0x13b8,StereoMode,u,0,0,3,Defo
0x53c0,0x13c0,AlphaMode,u,0,0,3,Defo
0xb0,0x30,PixelWidth,u,0,0,1,Defo
0xba,0x3a,PixelHeight,u,0,0,1,Defo
0x54aa,0x14aa,PixelCropBottom,u,0,0,1,Defo
0x54bb,0x14bb,PixelCropTop,u,0,0,1,Defo
0x54cc,0x14cc,PixelCropLeft,u,0,0,1,Defo
0x54dd,0x14dd,PixelCropRight,u,0,0,1,Defo
0x54b0,0x14b0,DisplayWidth,u,1,0,1,Defo
0x54ba,0x14ba,DisplayHeight,u,1,0,1,Defo
0x54b2,0x14b2,DisplayUnit,u,0,0,1,Defo
0x2eb524,0xeb524,UncompressedFourCC,b,1,0,1,Defo
0x55b0,0x15b0,Colour,m,1,0,4,Defo
0x55b1,0x15b1,MatrixCoefficients,u,0,0,4,Defo
0x55b2,0x15b2,BitsPerChannel,u,0,0,4,Defo
0x55b3,0x15b3,ChromaSubsamplingHoriz,u,1,0,4,Defo
0x55b4,0x15b4,ChromaSubsamplingVert,u,1,0,4,Defo
0x55b5,0x15b5,CbSubsamplingHoriz,u,1,0,4,Defo
0x55b6,0x15b6,CbSubsamplingVert,u,1,0,4,Defo
0x55b7,0x15b7,ChromaSitingHoriz,u,0,0,4,Defo
0x55b8,0x15b8,ChromaSitingVert,u,0,0,4,Defo
0x55b9,0x15b9,Range,u,0,0,4,Defo
0x55ba,0x15ba,TransferCharacteristics,u,0,0,4,Defo
0x55bb,0x15bb,Primaries,u,0,0,4,Defo
0x55bc,0x15bc,MaxCLL,u,1,0,4,Defo
